location,lat,lon,country,file
Virginia Gateway,38.794745,-77.606841,us,10
Stonewall,38.785307,-77.649939,us,10
Centreville,38.84039,-77.42888,us,10
Stonewall Golf Club,38.785307,-77.649939,us,10
Robert Trent Jones Golf Club,38.775619,-77.639461,us,10
Va.,37.54812,-77.44675,us,10
Dulles International Airport,38.94877,-77.4491,us,10
Gainesville,38.79567,-77.61388,us,10
Charleston,38.34982,-81.63262,us,10
Haymarket Village Center,38.817901,-77.644125,us,10
Lake Manassas,38.77145,-77.64191,us,10
Iran,32.0,53.0,ir,12
Iran,32.0,53.0,ir,12
Pacific,30.0,-170.0,nan,13
Pacific,30.0,-170.0,nan,13
Asian,29.84064,89.29688,nan,13
Asia,29.84064,89.29688,nan,13
Hanoi,21.0245,105.84117,vn,13
Hanoi,21.0245,105.84117,vn,13
Beijing,39.9075,116.39723,cn,14
China,35.0,105.0,cn,14
Kuala Lumpur,3.14309,101.68653,my,14
Indian Ocean,-10.0,70.0,nan,14
Indian Ocean,-10.0,70.0,nan,14
Indian Ocean,-10.0,70.0,nan,14
Klamath Falls,42.22487,-121.78167,us,17
Oregon,44.00013,-120.50139,us,17
Idaho,44.5002,-114.25118,us,17
Canadian,60.10867,-113.64258,ca,17
Klamath Falls,42.22487,-121.78167,us,17
Boise,43.98913,-115.73024,us,17
Boise,43.98913,-115.73024,us,17
Hinton,53.3958,-117.58064,ca,17
Alberta,52.28333,-117.469,ca,17
Hinton,53.3958,-117.58064,ca,17
Alberta,52.28333,-117.469,ca,17
Canada,60.10867,-113.64258,ca,17
Canada,60.10867,-113.64258,ca,17
Canada,60.10867,-113.64258,ca,17
American,39.76,-98.5,us,17
B.C.,53.99983,-125.0032,ca,17
Calgary,51.05011,-114.08529,ca,17
Valemount,52.83329,-119.2525,ca,17
LaFayette,34.7048,-85.2819,us,18
Chattanooga,35.04563,-85.30968,us,18
14th St.,35.03966,-85.31264,us,18
Walker County,34.73566,-85.30098,us,18
Hamilton County,35.18086,-85.16479,us,18
Ga.,32.75042,-83.50018,us,18
Toronto,43.70011,-79.4163,ca,19
Rogers Centre,43.641453,-79.389546,ca,19
Russia,60.0,100.0,ru,20
Russian Foreign Ministry,55.746055,37.58441,ru,20
St. Petersburg,59.91667,30.25,ru,20
Seattle,47.60621,-122.33207,us,20
St. Petersburg,59.91667,30.25,ru,20
UK,54.75844,-2.69531,gb,20
Toronto,43.70011,-79.4163,ca,21
Toronto,43.70011,-79.4163,ca,21
TORONTO,43.70011,-79.4163,ca,21
Disneyworld,28.41167,-81.58257,us,21
Disneyworld,28.41167,-81.58257,us,21
Ontario,49.25014,-84.49983,ca,21
Ontario,49.25014,-84.49983,ca,21
Imperial Beach,32.58394,-117.11308,us,23
Baja California,30.0,-115.0,mx,23
SAN DIEGO,32.71571,-117.16472,us,23
Tijuana,32.5027,-117.00371,mx,23
Tijuana River,32.55668,-117.12865,us,23
TIJUANA,32.5027,-117.00371,mx,23
Abuja,9.05785,7.49508,ng,24
US,39.76,-98.5,us,25
Eastern Ghouta,33.527,36.389,sy,25
Syria,35.0,38.0,sy,25
Syria,35.0,38.0,sy,25
Syria,35.0,38.0,sy,25
Eastern Ghouta,33.527,36.389,sy,25
Ghouta,33.527,36.389,sy,25
Eastern Ghouta,33.527,36.389,sy,25
Moscow,55.75222,37.61556,ru,25
al-Tanf,33.43624,38.83581,sy,25
Valley,39.813231,-83.054829,us,26
Valley,39.813231,-83.054829,us,26
Poland,41.02423,-80.6148,us,26
Ohio,40.25034,-83.00018,us,26
Goleta,34.43583,-119.82764,us,27
Carpinteria,34.39888,-119.51846,us,27
Mesa,33.64113,-117.91867,us,27
Booker,35.585369,-120.740452,us,27
L’Aventure,35.585369,-120.740452,us,27
Sullivan Goss,34.423896,-119.704152,us,27
Newcomers,34.423896,-119.704152,us,27
Turtle Rock,37.86604,-121.94301,us,27
Black Sheep,34.419193,-119.696964,us,27
Turtle Rock,37.86604,-121.94301,us,27
Uruguay,-33.0,-56.0,uy,28
The Colony Theatre,34.185402,-118.312534,us,28
Germany,51.5,10.5,de,28
Singapore,1.28967,103.85007,sg,28
Canada,60.10867,-113.64258,ca,28
Australia,-25.0,135.0,au,28
United States,39.76,-98.5,us,28
Los Angeles,34.05223,-118.24368,us,28
Osogbo,7.77104,4.55698,ng,29
Whole Foods,36.808954,-119.805469,us,30
Whole Foods,36.808954,-119.805469,us,30
Fresno,36.74773,-119.77237,us,30
Fresno,36.74773,-119.77237,us,30
Celebrity Cake Studio,47.238235,-122.429773,us,30
Pitman Family Farms,36.283052,-119.642083,us,30
Calif.,37.25022,-119.75126,us,30
Tacoma,47.25288,-122.44429,us,30
Washington,47.50012,-120.50147,us,30
Museum of Ice Cream,25.808552,-80.123911,us,30
Collins Avenue,25.808552,-80.123911,us,30
Miami Beach,25.79065,-80.13005,us,30
Miami Beach,25.79065,-80.13005,us,30
Kentucky,38.20042,-84.87762,us,31
New York Auto Show,40.71427,-74.00597,us,31
Bowling Green,36.99032,-86.4436,us,31
Florida,28.75054,-82.5001,us,32
Immokalee,26.41869,-81.4173,us,32
Collier County,26.09924,-81.38097,us,32
Immokalee,26.41869,-81.4173,us,32
Collier County,26.09924,-81.38097,us,32
Immokalee,26.41869,-81.4173,us,32
Immokalee,26.41869,-81.4173,us,32
IMMOKALEE,26.41869,-81.4173,us,32
University of California,37.25022,-119.75126,us,100
San Marcos,33.14337,-117.16614,us,100
Marjory Stoneman Douglas High School,26.304532,-80.269693,us,100
California,37.25022,-119.75126,us,100
Florida,28.75054,-82.5001,us,100
Parkland,26.31008,-80.23727,us,100
California State University,33.12888,-117.15744,us,100
California Polytechnic State University,35.30059,-120.66004,us,100
Florida Atlantic University,26.37407,-80.10435,us,100
Africa,7.1881,21.09375,nan,101
Africa,7.1881,21.09375,nan,101
Africa,7.1881,21.09375,nan,101
African,7.1881,21.09375,nan,101
Africa,7.1881,21.09375,nan,101
Africa,7.1881,21.09375,nan,101
African,7.1881,21.09375,nan,101
African,7.1881,21.09375,nan,101
Africa,7.1881,21.09375,nan,101
Africa,7.1881,21.09375,nan,101
Nigeria,10.0,8.0,ng,101
Africa,7.1881,21.09375,nan,101
Nigeria,10.0,8.0,ng,101
Africa,7.1881,21.09375,nan,101
African,7.1881,21.09375,nan,101
African,7.1881,21.09375,nan,101
North Carolina,35.50069,-80.00032,us,104
COLUMBUS,39.96118,-82.99879,us,104
Ohio,40.25034,-83.00018,us,104
Columbus,39.96118,-82.99879,us,104
Ohio,40.25034,-83.00018,us,104
St. Peter's Basilica,41.90221,12.45305,va,105
Muscat,23.58413,58.40778,om,106
Salalah,17.01505,54.09237,om,106
Muscat,23.58413,58.40778,om,106
Illinois,40.00032,-89.25037,us,108
White House,38.89704,-77.03655,us,108
Bellmore,40.66871,-73.52707,us,110
Fire Island,40.66788,-73.05428,us,110
Fort Salonga,40.9126,-73.30095,us,110
Oceanside,40.63871,-73.64013,us,110
Manila Cathedral,14.59158,120.973474,ph,111
Philippines,13.0,122.0,ph,111
MANILA,14.6042,120.9822,ph,111
Manila Cathedral,14.59158,120.973474,ph,111
Brussels,50.85045,4.34878,be,116
Brussels,50.85045,4.34878,be,116
Belgium,50.75,4.5,be,116
EU,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
Europe,48.69096,9.14062,nan,116
European,48.69096,9.14062,nan,116
Greece,39.0,22.0,gr,116
Cyprus,35.0,33.0,cy,116
Spain,40.0,-4.0,es,116
Italy,42.83333,12.83333,it,116
European,48.69096,9.14062,nan,116
EU,48.69096,9.14062,nan,116
Iran,32.0,53.0,ir,118
New Orleans,29.95465,-90.07507,us,118
America,39.76,-98.5,us,118
August,29.949971,-90.066764,us,118
Le Bernardin,40.761554,-73.981726,us,118
New York City,40.71427,-74.00597,us,118
South Korea,36.5,127.75,kr,118
America,39.76,-98.5,us,118
New Orleans,29.95465,-90.07507,us,118
New York,40.71427,-74.00597,us,118
America,39.76,-98.5,us,118
SAN ANTONIO,29.42412,-98.49363,us,119
Kentucky,38.20042,-84.87762,us,120
Dubai World Cup,25.0657,55.17128,ae,120
Dubai World Cup,25.0657,55.17128,ae,120
Dubai Turf,25.0657,55.17128,ae,120
Dubai World Cup,25.0657,55.17128,ae,120
Dubai World Cup,25.0657,55.17128,ae,120
World Cup,25.15757,55.30364,ae,120
Helmet,37.91702,-77.10596,us,120
Meydan Racecourse,25.15757,55.30364,ae,120
Dubai,25.0657,55.17128,ae,120
Europe,48.69096,9.14062,nan,120
Iraqi,33.0,44.0,iq,121
Damascus,33.5102,36.29128,sy,121
Douma,33.57175,36.4027,sy,121
Ghouta,33.527,36.389,sy,121
Douma,33.57175,36.4027,sy,121
Syrian,35.0,38.0,sy,121
Idlib,35.93062,36.63393,sy,121
Syria,35.0,38.0,sy,121
Ghouta,33.527,36.389,sy,121
Damascus,33.5102,36.29128,sy,121
Douma,33.57175,36.4027,sy,121
Ghouta,33.527,36.389,sy,121
Ghouta,33.527,36.389,sy,121
Ghouta,33.527,36.389,sy,121
Douma,33.57175,36.4027,sy,121
Riverdale,40.99399,-74.30348,us,122
Riverdale,40.99399,-74.30348,us,122
New York,40.71427,-74.00597,us,122
Riverdale Lukoil South,40.987871,-74.325994,us,122
U.S. Virgin Islands,18.34829,-64.98348,vi,122
Riverdale Luke Oil,40.987871,-74.325994,us,122
Florida,28.75054,-82.5001,us,122
New York,40.71427,-74.00597,us,122
Riverdale,40.99399,-74.30348,us,122
"Washington, D.C.",38.91706,-77.00025,us,122
Riverdale,40.99399,-74.30348,us,122
Morris County,40.86203,-74.54444,us,122
Lukeoil,40.987871,-74.325994,us,122
Morris County,40.86203,-74.54444,us,122
Riverdale,40.99399,-74.30348,us,122
Colchester,51.88921,0.90421,gb,123
Afghanistan,33.0,66.0,af,123
Middle East,33.13906,35.85869,nan,123
Turkish,39.0,35.0,tr,123
Middle East,33.13906,35.85869,nan,123
Manchester,53.48095,-2.23743,gb,123
Austin,30.26715,-97.74306,us,123
Texas,31.25044,-99.25061,us,123
Syria,35.0,38.0,sy,123
Manbij,36.52815,37.95495,sy,123
Syria,35.0,38.0,sy,123
Sheikh Akil graveyard,36.518473,37.968875,sy,123
River Avenue,49.880368,-97.14275,ca,124
Assiniboine Avenue,49.882596,-97.148046,ca,124
Winnipeg,49.8844,-97.14704,ca,124
Eglinton Avenue West,43.648539,-79.606475,ca,125
Dubonet Drive,43.547402,-79.7236,ca,125
Mississauga,43.5789,-79.6583,ca,125
Peel,43.75011,-79.78293,ca,125
Northumberland Avenue,52.139839,-106.717302,ca,126
Britain,54.75844,-2.69531,gb,128
Russia,60.0,100.0,ru,128
Russia,60.0,100.0,ru,128
United States,39.76,-98.5,us,128
Moscow,55.75222,37.61556,ru,128
Washington,38.89511,-77.03637,us,128
Moscow,55.75222,37.61556,ru,128
Moscow,55.75222,37.61556,ru,128
London,51.50853,-0.12574,gb,128
United Kingdom,54.75844,-2.69531,gb,128
Russian Embassy,38.92483,-77.07526,us,128
U.S.,39.76,-98.5,us,128
United Nations,40.74955,-73.96792,us,128
English,52.16045,-0.70312,gb,128
Salisbury,51.06931,-1.79569,gb,128
Heathrow,51.47115,-0.45649,gb,128
Europe,48.69096,9.14062,nan,128
Salisbury,51.06931,-1.79569,gb,128
British,54.75844,-2.69531,gb,128
Britain,54.75844,-2.69531,gb,128
Britain,54.75844,-2.69531,gb,128
London,51.50853,-0.12574,gb,128
Britain,54.75844,-2.69531,gb,128
LONDON,51.50853,-0.12574,gb,128
Karnataka,14.66667,75.83333,in,130
Kerala,10.41667,76.5,in,130
Puducherry,11.93333,79.81667,in,130
Cauvery,11.13659,79.85782,in,130
Tamil Nadu,11.0,78.33333,in,130
Karnataka,14.66667,75.83333,in,130
Tamil Nadu,11.0,78.33333,in,130
No. 2 Detention Centre,39.14222,117.17667,cn,131
Tianjin,39.33333,117.33333,cn,131
Tianjin,39.33333,117.33333,cn,131
Tianjin,39.33333,117.33333,cn,131
Supreme People's Court,39.903198,116.404954,cn,131
Beijing,39.91691,116.39706,cn,131
Beijing,39.91691,116.39706,cn,131
Hotel Kyjev,48.146,17.116,sk,132
Prešov,48.99839,21.23393,sk,132
Košice,48.71395,21.25808,sk,132
Bratislava,48.14816,17.10674,sk,132
Kamenné Square,48.144997,17.113117,sk,132
Žilina,49.22315,18.73941,sk,132
Nitra,48.30763,18.08453,sk,132
Slovakia,48.66667,19.5,sk,132
Slovakia,48.66667,19.5,sk,132
US,39.76,-98.5,us,133
Pennsylvania,40.27245,-76.90567,us,133
Canada,60.10867,-113.64258,ca,133
Pittsburgh,40.44062,-79.99589,us,133
Eva's Village,40.912253,-74.171892,us,134
Paterson,40.91677,-74.17181,us,134
Maywood,40.9026,-74.06181,us,134
Paterson,40.91677,-74.17181,us,134
Seasons restaurant,40.996857,-74.060587,us,134
Eva's Village,40.912253,-74.171892,us,134
Maywood,40.9026,-74.06181,us,134
Washington Township,40.98832,-74.06358,us,134
New Jersey,40.16706,-74.49987,us,134
N.J.,40.16706,-74.49987,us,134
ALLENDALE,41.04149,-74.12903,us,134
Russia,60.0,100.0,ru,135
Venezuela,8.0,-66.0,ve,135
South Venezuela,8.0,-66.0,ve,135
Orinoco,8.2,-64.73694,ve,135
Caracas,10.48801,-66.87919,ve,135
Russian,60.0,100.0,ru,135
Caracas,10.48801,-66.87919,ve,135
Morocco,32.0,-6.0,ma,136
Morocco,32.0,-6.0,ma,136
Morocco,32.0,-6.0,ma,136
Rabat,34.01325,-6.83255,ma,136
United States,39.76,-98.5,us,136
LOS ANGELES,34.05223,-118.24368,us,137
Middle East,33.13906,35.85869,nan,139
Africa,7.1881,21.09375,nan,139
Middle East,33.13906,35.85869,nan,139
Middle East,33.13906,35.85869,nan,139
Middle East,33.13906,35.85869,nan,139
Gulf,27.0,51.0,nan,139
Gulf,27.0,51.0,nan,139
Dubai World Trade Centre,25.12079,55.13227,ae,139
Dubai,25.0657,55.17128,ae,139
Asia,29.84064,89.29688,nan,139
Africa,7.1881,21.09375,nan,139
Pilanesburg Mountains,-25.2567,27.105,za,140
SA,-29.0,24.0,za,140
North West,-26.5,26.0,za,140
North West,-26.5,26.0,za,140
Limpopo,-24.0,29.5,za,140
Limpopo,-24.0,29.5,za,140
African,7.1881,21.09375,nan,140
Africa,7.1881,21.09375,nan,140
SA,-29.0,24.0,za,140
SA,-29.0,24.0,za,140
Enugu,6.44132,7.49883,ng,141
U.S.,39.76,-98.5,us,142
United States,39.76,-98.5,us,142
New York,43.00035,-75.4999,us,142
London,51.50853,-0.12574,gb,142
United States,39.76,-98.5,us,142
D.C.,38.91706,-77.00025,us,142
WASHINGTON,38.91706,-77.00025,us,142
Washington,38.91706,-77.00025,us,142
"Washington, D.C.",38.91706,-77.00025,us,142
New York,43.00035,-75.4999,us,142
London,51.50853,-0.12574,gb,142
Holland,52.25,5.75,nl,143
Cork,51.89797,-8.47061,ie,143
UK,54.75844,-2.69531,gb,144
Europe,48.69096,9.14062,nan,144
Ireland,53.0,-8.0,ie,144
United Kingdom,54.75844,-2.69531,gb,144
Europe,48.69096,9.14062,nan,144
European,48.69096,9.14062,nan,144
EU,48.69096,9.14062,nan,144
EU,48.69096,9.14062,nan,144
EU,48.69096,9.14062,nan,144
Sloss Furnaces,33.52056,-86.79139,us,146
Birmingham,33.52066,-86.80249,us,146
St. North,33.519206,-86.793637,us,146
Beijing,39.9075,116.39723,cn,147
Chinese,35.0,105.0,cn,147
China,35.0,105.0,cn,147
China,35.0,105.0,cn,147
China,35.0,105.0,cn,147
China,35.0,105.0,cn,147
London,51.50853,-0.12574,gb,148
London,51.50853,-0.12574,gb,148
Brussels,50.85045,4.34878,be,148
Berlin,52.52437,13.41053,de,148
London,51.50853,-0.12574,gb,148
London,51.50853,-0.12574,gb,148
London,51.50853,-0.12574,gb,148
London,51.50853,-0.12574,gb,148
Schiphol,52.3103,4.76028,nl,148
Schiphol,52.3103,4.76028,nl,148
Amsterdam,52.37403,4.88969,nl,148
Amsterdam,52.37403,4.88969,nl,148
Amsterdam,52.37403,4.88969,nl,148
Amsterdam,52.37403,4.88969,nl,148
Amsterdam,52.37403,4.88969,nl,148
Amsterdam,52.37403,4.88969,nl,148
Amsterdam,52.37403,4.88969,nl,148
Amsterdam,52.37403,4.88969,nl,148
Amsterdam,52.37403,4.88969,nl,148
Paris,48.85341,2.3488,fr,148
Paris,48.85341,2.3488,fr,148
Almelo,52.35667,6.6625,nl,148
Hilversum,52.22333,5.17639,nl,148
European,48.69096,9.14062,nan,148
Lelystad,52.50833,5.475,nl,148
United States,39.76,-98.5,us,149
Bambino Gesu Paediatric Hospital,41.897503,12.461277,it,149
Rome,41.89193,12.51133,it,149
U.S.,39.76,-98.5,us,149
Alder Hey Children's Hospital,53.4205,-2.8968,gb,149
England,52.16045,-0.70312,gb,149
Liverpool,53.41058,-2.97794,gb,149
LONDON,51.50853,-0.12574,gb,149
Britain,54.75844,-2.69531,gb,149
Salisbury,51.06931,-1.79569,gb,152
Russia,60.0,100.0,ru,152
Russia,60.0,100.0,ru,152
English,52.16045,-0.70312,gb,152
England,52.16045,-0.70312,gb,152
Britain,54.75844,-2.69531,gb,152
University of Perpetual Help Dalta System Calamba,14.215992,121.135368,ph,154
Barangay Paciano Rizal,14.21554,121.13363,ph,154
CALAMBA CITY,14.19504,121.11704,ph,154
University of Perpetual Help,14.215992,121.135368,ph,154
City Hall,14.193747,121.159529,ph,154
Coggeshall,51.87077,0.68536,gb,157
A120,51.8763,0.6738,gb,157
Colchester General Hospital,51.91017,0.89918,gb,157
Coggeshall,51.87077,0.68536,gb,157
Marks Tey,51.87628,0.76424,gb,157
Colchester Hospital,51.91017,0.89918,gb,157
A120,51.8763,0.6738,gb,157
Owerri,5.48363,7.03325,ng,159
Obinze,5.40873,6.95961,ng,159
Guma Local Government Area,7.96667,8.76667,ng,160
Guma LGA,7.96667,8.76667,ng,160
Umemger,7.940316,8.75597,ng,160
Torkula,7.988829,8.752326,ng,160
Makurdi,7.73375,8.52139,ng,160
Makurdi,7.73375,8.52139,ng,160
Benue state,7.33333,8.75,ng,160
Abagana,6.19031,6.99357,ng,160
Agriculture Park Wana,32.337441,69.578783,pk,161
Makeen,27.1,68.38333,pk,161
Agriculture Park,32.337441,69.578783,pk,161
Wana,32.29889,69.5725,pk,161
SOUTH WAZIRISTAN,32.30397,69.68207,pk,161
South Waziristan Agency,32.30397,69.68207,pk,161
Makeen Market Complex,32.6208,69.8392,pk,161
Makeen,27.1,68.38333,pk,161
New Quay,52.21515,-4.35887,gb,162
New Quay,52.21515,-4.35887,gb,162
St Athan,51.40278,-3.41389,gb,162
Ceredigion,52.25,-4.0,gb,162
West Wales,52.434,-3.83,gb,162
New Quay,52.21515,-4.35887,gb,162
New Quay RNLI,52.213502,-4.35733,gb,162
Gwbert,52.1166,-4.68599,gb,162
Berlin,52.52437,13.41053,de,164
Southold,41.06482,-72.4262,us,165
Los Angeles,34.05223,-118.24368,us,167
Beverly Hills,34.07362,-118.40036,us,167
California,37.25022,-119.75126,us,167
Beverly Hills,34.07362,-118.40036,us,167
Gilgit-Baltistan,36.0,75.0,pk,169
Gilgit-Baltistan,36.0,75.0,pk,169
Gilgit-Baltistan,36.0,75.0,pk,169
Brooklyn,40.6501,-73.94958,us,170
Sacramento,38.58157,-121.4944,us,170
Crown Heights,41.63732,-73.93792,us,170
California,37.25022,-119.75126,us,170
NEW YORK,40.71427,-74.00597,us,170
Crown Heights,41.63732,-73.93792,us,172
Brooklyn,40.6501,-73.94958,us,172
Crown Heights,41.63732,-73.93792,us,172
Brooklyn,40.6501,-73.94958,us,172
New York City,40.71427,-74.00597,us,172
NEW YORK,40.71427,-74.00597,us,172
Denmark,56.0,10.0,dk,173
Wales,52.5,-3.5,gb,173
Asian,29.84064,89.29688,nan,173
WALES,52.5,-3.5,gb,173
Wales,52.5,-3.5,gb,173
MEXICO CITY,19.42847,-99.12766,mx,174
Hayes,51.51579,-0.4234,gb,175
Mozart Estate,51.529356,-0.204656,gb,175
South Kilburn Estate,51.55295,-0.19157,gb,175
Brent,51.55306,-0.3023,gb,175
South Kilburn Estate,51.55295,-0.19157,gb,175
London,51.50853,-0.12574,gb,175
London,51.50853,-0.12574,gb,175
Kilburn,51.55295,-0.19157,gb,175
South Kilburn Estate,51.55295,-0.19157,gb,175
Burton,52.80728,-1.64263,gb,178
Birmingham City,52.475373,-1.869036,gb,178
Raleigh,35.7721,-78.63861,us,179
RALEIGH,35.7721,-78.63861,us,179
N.C.,35.50069,-80.00032,us,179
Mexico,23.0,-102.0,mx,180
Oaxaca State,17.0,-96.5,mx,180
Mexico,23.0,-102.0,mx,180
Mexico,23.0,-102.0,mx,180
Oaxaca State,17.0,-96.5,mx,180
Matias Romero,16.87902,-95.03939,mx,180
Puebla,19.03793,-98.20346,mx,180
Mexico City,19.42847,-99.12766,mx,180
Matias Romero,16.87902,-95.03939,mx,180
Holy See,41.90225,12.4533,va,182
Holy See,41.90225,12.4533,va,182
Holy See,41.90225,12.4533,va,182
Holy See,41.90225,12.4533,va,182
Embassy of the Republic of Armenia,41.904079,12.494358,it,182
Holy See,41.90225,12.4533,va,182
Vatican Gardens,41.9031,12.4506,va,182
Vatican,41.90225,12.4533,va,182
Vatican,41.90225,12.4533,va,182
Holy See,41.90225,12.4533,va,182
Czech Republic,49.75,15.0,cz,182
Echmiadzin,40.16557,44.29462,am,182
Asia,29.84064,89.29688,nan,185
Brazil,-10.0,-55.0,br,186
China,35.0,105.0,cn,186
Sweden,62.0,15.0,se,187
Athens,37.97945,23.71622,gr,187
Samos,37.75744,26.97616,gr,187
Samos,37.75744,26.97616,gr,187
Syria,35.0,38.0,sy,187
Syria,35.0,38.0,sy,187
Samos,37.75744,26.97616,gr,187
Samos,37.75744,26.97616,gr,187
Samos,37.75744,26.97616,gr,187
Germany,51.5,10.5,de,187
Iraq,33.0,44.0,iq,187
Iraq,33.0,44.0,iq,187
Damascus,33.5102,36.29128,sy,187
Turkey,39.0,35.0,tr,187
Europe,48.69096,9.14062,nan,187
Turkey,39.0,35.0,tr,187
Turkey,39.0,35.0,tr,187
Greece,39.0,22.0,gr,187
Greek,39.0,22.0,gr,187
Italy,42.83333,12.83333,it,187
Greek,39.0,22.0,gr,187
Greece,39.0,22.0,gr,187
Afghanistan,33.0,66.0,af,187
Iraq,33.0,44.0,iq,187
Cloverhill District Court,53.342751,-6.38476,ie,188
Central Mental Hospital,53.300459,-6.242315,ie,188
Dundrum,53.29067,-6.25714,ie,188
Cloverhill District Court,53.342751,-6.38476,ie,188
Dundalk,54.0,-6.41667,ie,188
Wales,52.5,-3.5,gb,190
New York,40.71427,-74.00597,us,190
New York,40.71427,-74.00597,us,190
New York,40.71427,-74.00597,us,190
England,52.16045,-0.70312,gb,190
London,51.50853,-0.12574,gb,190
London,51.50853,-0.12574,gb,190
London,51.50853,-0.12574,gb,190
London,51.50853,-0.12574,gb,190
London,51.50853,-0.12574,gb,190
Britain,54.75844,-2.69531,gb,190
British International School,30.073196,30.948169,eg,191
Liverpool Academy,30.073196,30.948169,eg,191
Nile Delta,30.85,31.2,eg,191
Madinaty,30.09613,31.65539,eg,191
Madinaty,30.09613,31.65539,eg,191
Madinaty,30.09613,31.65539,eg,191
Cairo,30.06263,31.24967,eg,191
New Cairo,30.03,31.47,eg,191
Cairo,30.06263,31.24967,eg,191
Cairo,30.06263,31.24967,eg,191
CAIRO,30.06263,31.24967,eg,191
Egypt,27.0,30.0,eg,191
Egypt,27.0,30.0,eg,191
Egypt,27.0,30.0,eg,191
Egypt,27.0,30.0,eg,191
Russia,60.0,100.0,ru,191
Rehab,30.065625,31.488506,eg,191
Nagrig,30.97243,30.86705,eg,191
Sacramento,38.58157,-121.4944,us,192
Yuba City,39.13573,-121.63809,us,192
Korean Peninsula,38.62545,127.55127,nan,193
Korean Peninsula,38.62545,127.55127,nan,193
Korean Peninsula,38.62545,127.55127,nan,193
Korean Peninsula,38.62545,127.55127,nan,193
Korean Peninsula,38.62545,127.55127,nan,193
Moscow,55.75222,37.61556,ru,193
Moscow,55.75222,37.61556,ru,193
Russia,60.0,100.0,ru,193
Russia,60.0,100.0,ru,193
Russia,60.0,100.0,ru,193
